Source,Target,Type,Id,Label,timeset,Weight
113897213765,115103012029416,Directed,3372,,,1
113897213765,157216494332099,Directed,3373,,,1
113897213765,111541054636,Directed,3374,,,1
113897213765,21976174279,Directed,3375,,,1
113897213765,27104741639,Directed,3376,,,1
113897213765,374523755953597,Directed,3377,,,1
113897213765,410769092335189,Directed,3378,,,1
113897213765,7057882289,Directed,3379,,,1
113897213765,211453825667547,Directed,3380,,,1
113897213765,344122032266720,Directed,3381,,,1
113897213765,123333434489486,Directed,3382,,,1
113897213765,492306324142423,Directed,3383,,,1
113897213765,120578257977137,Directed,3384,,,1
113897213765,131095156915715,Directed,3385,,,1
113897213765,162676127164370,Directed,3386,,,1
113897213765,315650871855629,Directed,3387,,,1
113897213765,174600353791,Directed,3388,,,1
113897213765,133488380013999,Directed,3389,,,1
113897213765,171105376310030,Directed,3390,,,1
113897213765,121635201218067,Directed,3391,,,1
113897213765,7802084642,Directed,3392,,,1
113897213765,150791208365503,Directed,3393,,,1
113897213765,374899661312,Directed,3394,,,1
113897213765,111355981336,Directed,3395,,,1
113897213765,121688864519252,Directed,3396,,,1
113897213765,166891610014560,Directed,3397,,,1
113897213765,255631661185910,Directed,3398,,,1
113897213765,54474067707,Directed,3399,,,1
113897213765,119524084796419,Directed,3400,,,1
113897213765,107399149282246,Directed,3401,,,1
113897213765,129034290451596,Directed,3402,,,1
113897213765,227680145354,Directed,3403,,,1
113897213765,166712823509,Directed,3404,,,1
113897213765,204571406251346,Directed,3405,,,1
113897213765,123064574395395,Directed,3406,,,1
113897213765,172791839444620,Directed,3407,,,1
113897213765,203088523035971,Directed,3408,,,1
113897213765,147835939351,Directed,3409,,,1
113897213765,114144098601914,Directed,3410,,,1
113897213765,6108793458,Directed,3411,,,1
113897213765,96039541606,Directed,3412,,,1
113897213765,248116567168,Directed,3413,,,1
113897213765,444438070071,Directed,3414,,,1
113897213765,48462650317,Directed,3415,,,1
113897213765,152064966115,Directed,3416,,,1
113897213765,140323369373151,Directed,3417,,,1
113897213765,126461805681,Directed,3418,,,1
113897213765,108415634782,Directed,3419,,,1
113897213765,87047736106,Directed,3420,,,1
157216494332099,374899661312,Directed,3421,,,1
27104741639,113897213765,Directed,3422,,,1
410769092335189,131095156915715,Directed,3423,,,1
410769092335189,315650871855629,Directed,3424,,,1
410769092335189,126461805681,Directed,3425,,,1
410769092335189,410769092335189,Directed,3426,,,1
410769092335189,113897213765,Directed,3427,,,1
410769092335189,147835939351,Directed,3428,,,1
344122032266720,374899661312,Directed,3429,,,1
344122032266720,166891610014560,Directed,3430,,,1
344122032266720,113897213765,Directed,3431,,,1
123333434489486,54474067707,Directed,3432,,,1
123333434489486,315650871855629,Directed,3433,,,1
